municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
CASTELLI,Interior,168,166456049.8852444,84269347.10513629,59636202.70265566,53585409.34503513,9970314.671219517,183776865.4546592,96324754.85916921,63029747.17606669,59451669.66798816,10249567.116518836,9594,I,06168,19155.39560711478,32.34992038900341,5.577180289347995,34.29688879507915,10.40563895476064,14.3058041484436,5.690410052315274,Resto
CHACABUCO,Interior,210,1027810662.2761086,511507993.1299454,370522006.49230987,297910868.6415865,167838562.60203096,1039814688.1548147,500495330.1234137,388187049.6789944,271652486.6561187,173312589.15399286,52729,I,06210,19719.97739678004,26.12508649384199,16.66764194892666,37.332329895035926,1.167921906173159,-2.152979651235678,4.76760971741396,Agroindustrial
CHASCOMUS,Interior,218,620839364.6679505,223857673.52221185,300387197.53937936,93981837.75871173,100370092.58866352,642357945.1483239,226304195.82378688,313574771.5111626,89391293.52702755,109198317.64391758,42452,I,06218,15131.394166313105,13.916118606797433,16.999605666697732,48.81620502705177,3.4660464050765163,1.0928918643176568,4.390191752447902,Resto
CHIVILCOY,Interior,224,1104260604.8783596,453125273.11519444,482692125.5613023,228344515.76113808,173516141.89202207,1181415305.9016802,484977167.5836596,510851965.7248526,228207368.19097584,214145150.7386368,70839,I,06224,16677.470121002276,19.316439109175356,18.1261534084491,43.24067609188117,6.987001137455202,7.029379369966789,5.833913310850976,Resto
COLON,Interior,175,483912569.856385,251576938.93846977,156525800.0381451,129168985.52501464,98950248.72942016,505952682.8535343,257783262.66032845,169217787.5205707,131171298.56770971,98763631.49272132,27504,I,06175,18395.603652324546,25.925605894194227,19.52032963551098,33.44537804725046,4.5545650950315935,2.4669684542813406,8.10855940639344,Agroindustrial
CORONEL DE MARINA L ROSALES,Interior,182,625362314.171233,116812100.43012631,396450549.2335683,29765829.023293957,39741100.288907774,698298378.6718642,153187997.35819608,424385232.51758647,24578917.150749534,48923175.319751754,67503,I,06182,10344.701401002387,3.5198301902830798,7.006055980367834,60.77419703089535,11.663009242456553,31.140521225220844,7.046196136699127,Resto
CORONEL DORREGO,Interior,189,617361541.5406334,389306413.319905,170973978.6675545,370458436.39196086,6513819.592292901,492038352.7087028,267441798.13173315,174428545.8381715,248493568.95214495,6715230.891175635,15968,I,06189,30814.02509448289,50.50288612344381,1.3647779394040844,35.45019303432977,-20.29980496018347,-31.303007353241814,2.0205221856210933,Resto
CORONEL PRINGLES,Interior,196,599323826.7405225,266794962.18778664,266313082.25650173,228540755.34336346,17214529.622167293,577125294.2741618,227143954.02351904,283592936.4564217,184342276.85666382,18580304.29001328,24420,I,06196,23633.30443383136,31.941465516341157,3.2194576246014885,49.13888531139334,-3.703929574615686,-14.861977842129864,6.488548761294685,Resto
CORONEL SUAREZ,Interior,203,920562382.6388143,481915871.32603025,321574636.1972659,338509231.5049402,105729698.1527334,943313042.3555492,481479573.8796237,339359975.387325,320502769.5519263,109124570.29774147,42110,I,06203,22401.16462492399,33.97628943532871,11.568224480947094,35.975329519446525,2.4713870722720137,-0.09053394427662981,5.530703354088185,Resto
DAIREAUX,Interior,231,543208118.7322366,335230093.9430186,149476876.10134497,301620046.54416883,26111957.091413666,555835315.3563894,339941957.23500115,154027462.0508815,301589758.2194773,26356199.214320704,18422,I,06231,30172.365397697828,54.25883348669643,4.741728077752974,27.710988811879012,2.3245596280156295,1.4055609496632602,3.0443410835340483,Resto
DOLORES,Interior,238,314399478.11772794,49159012.3579929,215059706.51561886,18285270.838817876,12415888.465788912,325904800.1612316,47493986.48159804,225392871.15287465,20591690.2246748,13861572.10482662,32032,I,06238,10174.350654384103,6.318314493830003,4.253258036693238,69.15911365569588,3.6594596506281207,-3.3870206021829063,4.804788774556118,Resto
ENSENADA,Interior,245,3987414707.5360065,2632983553.957962,611075684.8922739,157158.9203491453,2432120743.7317133,4101970900.0045705,2645255121.370802,676785785.7866638,991790.6771058977,2546770204.4820056,63997,I,06245,64096.299826625785,0.02417839378394402,62.08650101538185,16.499039176165528,2.8729440219011777,0.46607079616555086,10.753185328585584,Resto
ESCOBAR,Interior,252,3897113382.179907,1656117018.6342182,1582715442.5306783,2816553.2318371264,1056823004.3009996,3983024617.7013974,1588817533.8583236,1701727156.3559499,2844916.8710755757,1126919316.8844206,256268,C,06252,15542.418943065062,0.07142604287285015,28.293054275290057,42.72449506822321,2.204483860139447,-4.0636913949109585,7.5194637410612595,Resto
