Anio,Tipo_Valor,region,municipio,codigo_partido,pbg_total,impuestos,vab,sector,valor
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,domestico,2646629.996316188
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,bienes,2645255121.370802
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,agro,991790.6771058977
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,pesca,0
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,mineria,3431401.4324405706
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,industria,2546770204.4820056
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,electricidad,38349906.44284365
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,construccion,55711818.336406134
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,servicios,676785785.7866638
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,comercio,110662338.85010844
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,hoteles,4519909.881722743
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,transporte,318305161.34196746
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,financiero,9281222.781492177
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,inmobiliario,93807426.75918962
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,publico,43463135.68293188
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,ensenanza,37669612.58257375
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,salud,36387152.18174923
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,comunitarios,17007725.658851754
2022,Constante,Interior,ENSENADA,245,4101970900.0045705,779929992.8471047,3322040907.157466,domestico,5682100.066076794
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,bienes,1588817533.8583236
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,agro,2844916.8710755757
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,pesca,0
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,mineria,8571715.887110583
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,industria,1126919316.8844206
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,electricidad,22551957.895324297
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,construccion,427929626.32039255
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,servicios,1701727156.3559499
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,comercio,499124544.335636
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,hoteles,33208629.51239926
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,transporte,331923744.6132088
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,financiero,38609371.62034139
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,inmobiliario,379711043.8859526
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,publico,80407345.01530455
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,ensenanza,128927534.18169127
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,salud,87652413.43641557
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,comunitarios,71191638.40924607
2022,Constante,Interior,ESCOBAR,252,3983024617.7013974,692479927.487124,3290544690.2142735,domestico,50970891.3457543
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,bienes,1130829493.1754997
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,agro,1570097.3562177117
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,pesca,0
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,mineria,621556.2474929775
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,industria,895531956.6437603
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,electricidad,29750658.951265227
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,construccion,203355223.97676352
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,servicios,1859782608.0849037
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,comercio,478523990.8516773
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,hoteles,39607830.97465961
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,transporte,325379314.4972204
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,financiero,58648171.9636588
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,inmobiliario,484265645.4218551
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,publico,114740983.06894675
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,ensenanza,149964270.27434003
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,salud,99458455.62754159
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,comunitarios,66500414.822240256
2022,Constante,AMBA,ESTEBAN ECHEVERRIA,260,3726447980.5817976,735835879.3213942,2990612101.2604036,domestico,42693530.58276366
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,bienes,442136332.39235896
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,agro,196062431.53125808
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,pesca,0
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,mineria,1675721.422466073
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,industria,128189857.70994912
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,electricidad,8994459.811533779
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,construccion,107213861.91715185
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,servicios,230061732.0669502
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,comercio,48508787.732152626
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,hoteles,2813166.551335431
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,transporte,50450241.62899878
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,financiero,5765910.266211417
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,inmobiliario,59252140.52925496
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,publico,14982256.962061286
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,ensenanza,18733167.223178513
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,salud,16101417.407936845
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,comunitarios,7717275.0236500595
2022,Constante,Interior,EXALTACION DE LA CRUZ,266,784152626.5573217,111954562.09801257,672198064.4593091,domestico,5737368.742170298
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,bienes,848737948.2803771
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,agro,6180710.178282144
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,pesca,0
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,mineria,3487605.455634531
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,industria,584320271.5268794
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,electricidad,14868544.639855076
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,construccion,239880816.47972614
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,servicios,1440029543.2012928
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,comercio,286140399.1173537
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,hoteles,58050175.408415444
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,transporte,474175195.4355981
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,financiero,25190144.114893503
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,inmobiliario,289695711.0159313
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,publico,96495449.9185103
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,ensenanza,88474357.96067828
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,salud,48882381.6122991
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,comunitarios,49387437.6823511
2022,Constante,AMBA,EZEIZA,270,2772436285.594946,483668794.11327624,2288767491.48167,domestico,23538290.935261857
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,bienes,1132415204.2723305
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,agro,26405734.940166727
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,pesca,0
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,mineria,645528.1137874726
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,industria,996286586.1892006
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,electricidad,41512995.54776699
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,construccion,67564359.48140866
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,servicios,2368234394.0472736
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,comercio,470462327.18942934
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,hoteles,52119213.21109901
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,transporte,514167784.0904907
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,financiero,52764985.37890136
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,inmobiliario,639270123.8066461
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,publico,144215783.45096686
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,ensenanza,189108774.2050176
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,salud,161159357.2187735
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,comunitarios,97459459.70095135
2022,Constante,AMBA,FLORENCIO VARELA,274,4478224745.093588,977575146.7739835,3500649598.319604,domestico,47506585.79499768
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,bienes,155089252.70875892
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,agro,132602553.67907436
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,pesca,0
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,mineria,0
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,industria,16627464.851944266
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,electricidad,4136439.9456000812
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,construccion,1722794.232140228
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,servicios,79889929.67535628
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,comercio,23107812.7179268
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,hoteles,302062.7204759979
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,transporte,16970627.3906953
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,financiero,2560966.745122219
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,inmobiliario,13652513.062125318
2022,Constante,Interior,FLORENTINO AMEGHINO,277,265795536.43160772,30816354.04749249,234979182.38411522,publico,7858012.177271022
