municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial,crecimiento_total,log_poblacion,peso_agro,peso_industria,region_interior,valor_ajustado,residuo,residuo_estandar
GENERAL GUIDO,Interior,308,84797194.44452159,51898222.67311441,24178536.438128,48190039.00281767,483431.6079899877,90109431.28521591,54489452.93579321,26051103.06705056,48635351.32082851,987100.1429796264,3174,I,06308,28389.864929179555,53.97365251023177,1.0954459804049146,28.910517684428797,6.26463749831941,4.9929075201667255,7.744747634805744,Resto,6.26463749831941,8.062747901086354,56.82975635985918,0.5701033048991638,1,3.4307278833255217,2.8339096149938885,0.511108231255591
GENERAL JUAN MADARIAGA,Interior,315,363450633.8463162,140719499.63196883,176968388.06404078,94493547.52400091,9907202.268492898,388788031.52654266,141387722.98709556,199105123.2223628,89197342.2557848,11472254.294329252,22624,I,06315,17184.76094088325,22.94240949382087,2.9507735228588277,51.21174189457266,6.971345024793731,0.47486194654925473,12.508864097417932,Resto,6.971345024793731,10.0267665686963,25.99900474075309,2.725872882280382,1,5.905308663692723,1.0660363611010082,0.18945523872001307
GENERAL LA MADRID,Interior,322,306426593.4526748,187129308.4420406,87884464.98647743,179909970.5186157,1681471.0900577845,338028317.64821774,208049815.79219228,94868389.72686432,198383873.05608216,2221721.974035756,11618,I,06322,29095.224448977253,58.68853663986164,0.6572591283159529,28.06521962032565,10.312983556508312,11.179706441672325,7.946711334547565,Resto,10.312983556508312,9.360310898552477,58.712257474611576,0.5487353663113037,1,1.2053011923284558,9.107682364179857,1.6249961977529748
GENERAL LAS HERAS,Interior,329,327676640.70442766,174775088.8244322,97903414.14926764,52752818.73902135,98823746.17924562,341694841.5216895,177486444.90658906,106818469.08439276,52897179.25854581,101381619.13068315,18022,I,06329,18959.873572394263,15.48082465131043,29.67022231860291,31.261364265463268,4.278059243748954,1.55134012541142,9.105969401161904,Resto,4.278059243748954,9.799348512794982,16.099047715337658,30.158923128239422,1,6.221874049487,-1.9438148057380458,-0.35114268538666654
GENERAL LAVALLE,Interior,336,117491438.13686262,47888500.22057886,57286955.78057493,28622575.786853917,1381189.8887509468,115053299.92283028,45902122.95721118,56572633.17988585,30964682.966284607,1800334.3178818056,4870,I,06336,23624.907581689997,26.913337546209934,1.5647828607170278,49.17080450350474,-2.075162456682346,-4.14792122162573,-1.2469201600188684,Resto,-2.075162456682346,8.490849216076635,24.361414108755948,1.175566416288169,1,8.53646947747266,-10.611631934155007,-1.9336637839746418
GENERAL PAZ,Interior,343,193520537.35259897,84531762.27193886,79936771.11769646,54707449.810160205,18044038.040869422,209071642.95176983,92871328.19609538,84714370.284160465,56652363.982804775,20570537.43816747,14207,I,06343,14716.100721599903,27.09710565381349,9.838989710772411,40.51930194268525,8.035894180490232,9.865600455989686,5.976722726803175,Resto,8.035894180490232,9.561490079872078,28.269583455363165,9.324094634975491,1,5.753664320123535,2.2822298603666966,0.4046022903245856
GENERAL PINTO,Interior,351,414738301.41531974,276229232.2806946,98050267.12945025,252718808.16182235,9040830.327034568,394439001.0316001,251753551.83460957,101965184.91117091,228881476.75591975,8912658.564610103,12941,I,06351,30479.792985982545,58.02709066733063,2.2595784243698747,25.85068531369749,-4.894484139624198,-8.860640940859472,3.992766053918092,Resto,-4.894484139624198,9.46815584482167,60.934523601848205,2.1798879669859725,1,0.5476629905069386,-5.442147130131136,-0.9732113861559685
GENERAL PUEYRREDON,Interior,357,9282622901.519705,2753338453.533648,5008469341.270279,285731765.0624377,1673345706.211028,9832138866.187073,2862679310.599214,5358857906.59115,275427673.98144424,1747426192.2277231,667082,I,06357,14739.025886153537,2.8012996737530393,17.772594712195914,54.5034806721493,5.9198350562900055,3.9712101839582226,6.995921137694409,Resto,5.9198350562900055,13.410668255872174,3.0781360838827045,18.026647467679382,1,4.053569305469818,1.8662657508201872,0.3463806936567591
GENERAL RODRIGUEZ,Interior,364,1700738708.1270528,667473441.9148442,711179841.3906258,79663479.10134256,451382570.4193893,1874933709.800001,761550969.6190567,769521779.4628001,86170164.98675847,476169900.3581805,142709,C,06364,13138.160240769685,4.5959046197932105,25.39662591105547,41.04261262361564,10.242314168575668,14.0945724273798,8.203542153007843,Resto,10.242314168575668,11.868562870852452,4.684051625371212,26.540383203042207,0,5.955437692017964,4.286876476557704,0.7687444535932448
GENERAL SAN MARTIN,AMBA,371,6377640418.984346,2146795412.8350155,3060508645.558574,0,1941846136.950837,6718900268.018527,2247016456.466915,3233474870.8810477,0,2056807572.0598168,450518,C,06371,14913.72213323003,0,30.612265251950085,48.1250612733776,5.350879425850839,4.668402169704176,5.651551599878112,Resto,5.350879425850839,13.01815331083721,0,30.447720620474872,0,4.85852021585788,0.49235920999295846,0.0881122489564301
